signature,file,startline,startcol,endline,endcol,properties
Landroid/graphics/pdf/PdfRenderer;->doClose()V,packages/providers/MediaProvider/pdf/framework-v/java/android/graphics/pdf/PdfRenderer.java,390,5,390,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/graphics/pdf/flags/readonly/CustomFeatureFlags;->enableEditPdfStampAnnotations()Z,out/soong/.intermediates/packages/providers/MediaProvider/pdf/framework/pdf_viewer_flags_readonly_java_lib/android_common_apex30/javac/srcjars/android/graphics/pdf/flags/readonly/CustomFeatureFlags.java,20,5,20,25,
Landroid/graphics/pdf/flags/readonly/CustomFeatureFlags;->enableEditPdfTextAnnotations()Z,out/soong/.intermediates/packages/providers/MediaProvider/pdf/framework/pdf_viewer_flags_readonly_java_lib/android_common_apex30/javac/srcjars/android/graphics/pdf/flags/readonly/CustomFeatureFlags.java,27,5,27,25,
Landroid/graphics/pdf/flags/readonly/FeatureFlags;->enableEditPdfStampAnnotations()Z,out/soong/.intermediates/packages/providers/MediaProvider/pdf/framework/pdf_viewer_flags_readonly_java_lib/android_common_apex30/javac/srcjars/android/graphics/pdf/flags/readonly/FeatureFlags.java,9,5,9,25,
Landroid/graphics/pdf/flags/readonly/FeatureFlags;->enableEditPdfTextAnnotations()Z,out/soong/.intermediates/packages/providers/MediaProvider/pdf/framework/pdf_viewer_flags_readonly_java_lib/android_common_apex30/javac/srcjars/android/graphics/pdf/flags/readonly/FeatureFlags.java,13,5,13,25,
Landroid/graphics/pdf/flags/readonly/FeatureFlagsImpl;->enableEditPdfStampAnnotations()Z,out/soong/.intermediates/packages/providers/MediaProvider/pdf/framework/pdf_viewer_flags_readonly_java_lib/android_common_apex30/javac/srcjars/android/graphics/pdf/flags/readonly/FeatureFlagsImpl.java,8,5,8,25,
Landroid/graphics/pdf/flags/readonly/FeatureFlagsImpl;->enableEditPdfTextAnnotations()Z,out/soong/.intermediates/packages/providers/MediaProvider/pdf/framework/pdf_viewer_flags_readonly_java_lib/android_common_apex30/javac/srcjars/android/graphics/pdf/flags/readonly/FeatureFlagsImpl.java,15,5,15,25,
Landroid/graphics/pdf/flags/readonly/Flags;->enableEditPdfStampAnnotations()Z,out/soong/.intermediates/packages/providers/MediaProvider/pdf/framework/pdf_viewer_flags_readonly_java_lib/android_common_apex30/javac/srcjars/android/graphics/pdf/flags/readonly/Flags.java,13,5,13,25,
Landroid/graphics/pdf/flags/readonly/Flags;->enableEditPdfTextAnnotations()Z,out/soong/.intermediates/packages/providers/MediaProvider/pdf/framework/pdf_viewer_flags_readonly_java_lib/android_common_apex30/javac/srcjars/android/graphics/pdf/flags/readonly/Flags.java,20,5,20,25,
Landroid/provider/MediaStore$Files$FileColumns;->STORAGE_ID:Ljava/lang/String;,packages/providers/MediaProvider/apex/framework/java/android/provider/MediaStore.java,2500,13,2500,96,maxTargetSdk=30&trackingBug=170729553L
Landroid/provider/MediaStore$Files$FileColumns;->FORMAT:Ljava/lang/String;,packages/providers/MediaProvider/apex/framework/java/android/provider/MediaStore.java,2509,13,2509,33,
Landroid/provider/MediaStore$Files;->getMtpObjectsUri(Ljava/lang/String;)Landroid/net/Uri;,packages/providers/MediaProvider/apex/framework/java/android/provider/MediaStore.java,2462,9,2462,29,
Landroid/provider/MediaStore$Files;->getMtpObjectsUri(Ljava/lang/String;J)Landroid/net/Uri;,packages/providers/MediaProvider/apex/framework/java/android/provider/MediaStore.java,2468,9,2468,29,
Landroid/provider/MediaStore$Files;->getMtpReferencesUri(Ljava/lang/String;J)Landroid/net/Uri;,packages/providers/MediaProvider/apex/framework/java/android/provider/MediaStore.java,2474,9,2474,29,
Lcom/android/providers/media/flags/CustomFeatureFlags;->accessMediaOwnerPackageNamePermission()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,20,5,20,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->accessMediaOwnerPackageNamePermission()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,20,5,20,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->audioSampleColumns()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,27,5,27,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->audioSampleColumns()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,27,5,27,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->cloudMediaProviderSearch()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,34,5,34,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->cloudMediaProviderSearch()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,34,5,34,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->enableAppopPermissionChecksCache()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,41,5,41,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->enableAppopPermissionChecksCache()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,41,5,41,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->enableBackupAndRestore()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,48,5,48,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->enableBackupAndRestore()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,48,5,48,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->enableCloudMediaProviderCapabilities()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,55,5,55,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->enableCloudMediaProviderCapabilities()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,55,5,55,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->enableEmbeddedPhotopicker()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,62,5,62,25,
Lcom/android/providers/media/flags/CustomFeatureFlags;->enableEmbeddedPhotopicker()Z,out/soong/.intermediates/packages/providers/MediaProvider/mediaprovider_flags_java_lib/android_common_apex30/javac/srcjars/com/android/providers/media/flags/CustomFeatureFlags.java,62,5,62,25,
